,Player,Age,Pos,G,Tgt/G,Rec/G,Rec Yds/G,Yds/Rec,Rec TD/G,Rec 1D/G,Rec Lng,Ctch%,Yds/Tgt,Att/G,Rush Yds/G,Rush TD,Rush 1D,Rush Lng,Yds/Att,Touch/G,Yds/Touch,Scrim Yds/G,RRTD/G,Fmb/G,hyper_link
469,Trenton Irwin,26,,7.0,0.71428573,0.2857143,4.857143,17.0,0.0,0.14285715,25,0.4,6.8,,,,0,,,0.2857143,17.0,4.857143,0.0,0.0,https://www.pro-football-reference.com/players/I/IrwiTr00.htm
470,Seth Williams,21,wr,2.0,0.5,0.5,17.0,34.0,0.0,0.5,34,1.0,34.0,,,,0,,,0.5,34.0,17.0,0.0,0.0,https://www.pro-football-reference.com/players/W/WillSe00.htm
471,Shane Zylstra,25,,4.0,1.75,0.75,8.5,11.3,0.0,0.5,16,0.429,4.9,,,,0,,,0.75,11.333333,8.5,0.0,0.0,https://www.pro-football-reference.com/players/Z/ZylsSh00.htm
472,Mike Glennon,32,qb,6.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,1.1666666,5.5,1,2,13,4.714286,1.1666666,4.714286,5.5,0.16666667,1.0,https://www.pro-football-reference.com/players/G/GlenMi00.htm
473,Cody Hollister,28,wr,3.0,2.3333333,1.3333334,11.0,8.3,0.0,1.3333334,14,0.5710000000000001,4.7,,,,0,,,1.3333334,8.25,11.0,0.0,0.0,https://www.pro-football-reference.com/players/H/HollCo00.htm
474,Colby Parkinson,22,te,14.0,0.5714286,0.35714287,2.357143,6.6,0.0,0.14285715,12,0.625,4.1,,,,0,,,0.35714287,6.6,2.357143,0.0,0.0,https://www.pro-football-reference.com/players/P/ParkCo02.htm
475,Kaden Smith,24,,9.0,0.33333334,0.33333334,3.6666667,11.0,0.0,0.11111111,21,1.0,11.0,,,,0,,,0.33333334,11.0,3.6666667,0.0,0.0,https://www.pro-football-reference.com/players/S/SmitKa00.htm
476,Cody White,23,,15.0,0.4,0.33333334,2.2,6.6,0.0,0.2,11,0.833,5.5,,,,0,,,0.33333334,6.6,2.2,0.0,0.0,https://www.pro-football-reference.com/players/W/WhitCo05.htm
477,Josh Gordon,30,wr,12.0,1.1666666,0.41666666,2.6666667,6.4,0.083333336,0.25,11,0.35700000000000004,2.3,,,,0,,,0.41666666,6.4000006,2.6666667,0.083333336,0.0,https://www.pro-football-reference.com/players/G/GordJo02.htm
478,Tommy Hudson,24,,5.0,1.2,0.6,6.2,10.3,0.0,0.4,14,0.5,5.2,,,,0,,,0.6,10.333333,6.2,0.0,0.0,https://www.pro-football-reference.com/players/H/HudsTo00.htm
479,Deon Jackson,22,,9.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,1.4444444,3.4444444,1,2,10,2.3846154,1.4444444,2.3846154,3.4444444,0.11111111,0.0,https://www.pro-football-reference.com/players/J/JackDe02.htm
480,La'Mical Perine,23,,4.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.0,7.75,0,1,14,3.875,2.0,3.875,7.75,0.0,0.0,https://www.pro-football-reference.com/players/P/PeriLa00.htm
481,Jeremy Sprinkle,27,te,17.0,0.1764706,0.1764706,1.8235294,10.3,0.0,0.11764706,11,1.0,10.3,,,,0,,,0.1764706,10.333333,1.8235294,0.0,0.0,https://www.pro-football-reference.com/players/S/SpriJe00.htm
482,Cameron Batson,26,,4.0,1.25,0.5,3.75,7.5,0.25,0.5,13,0.4,3.0,0.5,3.75,0,1,11,7.5,1.0,7.5,7.5,0.25,0.0,https://www.pro-football-reference.com/players/B/BatsCa00.htm
483,K.J. Hill,24,,6.0,0.5,0.5,5.0,10.0,0.0,0.16666667,19,1.0,10.0,,,,0,,,0.5,10.0,5.0,0.0,0.0,https://www.pro-football-reference.com/players/H/HillKJ00.htm
484,Daniel Brown,29,,12.0,0.16666667,0.16666667,2.4166667,14.5,0.0,0.083333336,24,1.0,14.5,,,,0,,,0.16666667,14.5,2.4166667,0.0,0.0,https://www.pro-football-reference.com/players/B/BrowDa04.htm
485,JaQuan Hardy,24,,3.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,1.3333334,9.666667,1,1,22,7.25,1.3333334,7.25,9.666667,0.33333334,0.0,https://www.pro-football-reference.com/players/H/HardJa01.htm
486,Kylin Hill,23,,8.0,0.25,0.125,0.625,5.0,0.0,0.0,5,0.5,2.5,1.25,3.0,0,1,8,2.4,1.375,2.6363637,3.625,0.0,0.0,https://www.pro-football-reference.com/players/H/HillKy00.htm
487,Josh Johnson,35,,4.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.25,7.0,0,1,11,3.1111112,2.25,3.1111112,7.0,0.0,0.5,https://www.pro-football-reference.com/players/J/JohnJo05.htm
488,Jake Kumerow,29,wr,15.0,0.4,0.13333334,1.8666667,14.0,0.0,0.13333334,15,0.33299999999999996,4.7,,,,0,,,0.13333334,13.999999,1.8666667,0.0,0.0,https://www.pro-football-reference.com/players/K/KumeJa00.htm
489,C.J. Moore,26,s,17.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,0.05882353,1.6470588,0,1,28,28.0,0.05882353,28.0,1.6470588,0.0,0.0,https://www.pro-football-reference.com/players/M/MoorCJ01.htm
490,Dwayne Washington,27,,14.0,0.14285715,0.14285715,0.85714287,6.0,0.0,0.0,6,1.0,6.0,0.2857143,1.1428572,0,0,5,4.0,0.42857143,4.6666665,2.0,0.0,0.0,https://www.pro-football-reference.com/players/W/WashDw00.htm
491,Jordan Love,23,qb,6.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.0,4.5,0,1,10,2.25,2.0,2.25,4.5,0.0,0.5,https://www.pro-football-reference.com/players/L/LoveJo03.htm
492,Sean McKeon,24,te,9.0,0.6666667,0.44444445,3.0,6.8,0.11111111,0.22222222,12,0.667,4.5,,,,0,,,0.44444445,6.75,3.0,0.11111111,0.0,https://www.pro-football-reference.com/players/M/McKeSe01.htm
493,Will Fuller,27,,2.0,4.0,2.0,13.0,6.5,0.0,1.5,10,0.5,3.3,,,,0,,,2.0,6.5,13.0,0.0,0.0,https://www.pro-football-reference.com/players/F/FullWi01.htm
495,Reggie Gilliam,24,fb,16.0,0.3125,0.1875,1.4375,7.7,0.0,0.0,8,0.6,4.6,0.1875,0.1875,0,0,2,1.0,0.375,4.3333335,1.625,0.0,0.0,https://www.pro-football-reference.com/players/G/GillRe00.htm
496,Mike Strachan,24,,6.0,0.5,0.33333334,4.3333335,13.0,0.0,0.33333334,16,0.667,8.7,,,,0,,,0.33333334,13.0,4.3333335,0.0,0.0,https://www.pro-football-reference.com/players/S/StraMi03.htm
497,Christian Blake,25,,16.0,0.5625,0.25,1.5625,6.3,0.0,0.125,8,0.444,2.8,,,,0,,,0.25,6.25,1.5625,0.0,0.0,https://www.pro-football-reference.com/players/B/BlakCh00.htm
498,Anthony Miller,27,,3.0,4.0,2.0,8.333333,4.2,0.33333334,1.0,10,0.5,2.1,,,,0,,,2.0,4.1666665,8.333333,0.33333334,0.0,https://www.pro-football-reference.com/players/M/MillAn02.htm
499,Gabe Nabers,24,fb,10.0,0.3,0.3,1.7,5.7,0.0,0.0,8,1.0,5.7,0.3,0.8,0,1,4,2.6666665,0.6,4.1666665,2.5,0.0,0.0,https://www.pro-football-reference.com/players/N/NabeGa00.htm
500,Marcus Kemp,26,,16.0,0.3125,0.125,1.5,12.0,0.0,0.0625,16,0.4,4.8,,,,0,,,0.125,12.0,1.5,0.0,0.0,https://www.pro-football-reference.com/players/K/KempMa00.htm
501,Mitchell Trubisky,27,,6.0,0.0,0.0,0.0,,0.0,0.0,0,0.0,,2.1666667,4.0,1,3,22,1.8461537,2.1666667,1.8461537,4.0,0.16666667,0.0,https://www.pro-football-reference.com/players/T/TrubMi00.htm
